"Sub-Sector","Super Region","Energy Product","Sector","Flow Breakdown","Time Level","Country","Unit of Measurement","Source","Super Region","Value","Date Value","Period Value"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11408.850","2015-04-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","9869.690","2015-03-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11037.410","2015-02-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11037.380","2015-01-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","10755.800","2014-12-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","10055.060","2014-11-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","9325.280","2014-10-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","10395.760","2014-09-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","9270.660","2014-08-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","9008.280","2014-07-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","9245.420","2014-06-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","9422.900","2014-05-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","9873.830","2014-04-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","8253.520","2014-03-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","9379.340","2014-02-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","10348.070","2014-01-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","10792.660","2013-12-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","10243.360","2013-11-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","9086.540","2013-10-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","10388.480","2013-09-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","9023.950","2013-08-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","10261.200","2013-07-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","9871.370","2013-06-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","9323.130","2013-05-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","9183.460","2013-04-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","8288.290","2013-03-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","8651.180","2013-02-01","d"
